studentId,cpf,name,birthDate
1a23baf0-b668-4f18-beb9-88bd50c0d6a8,CPF1,Aluno 1,01/01/1990
5240a075-3c1a-47ae-9696-5b299c9617d8,CPF2,Aluno 2,01/01/1990
be57cd45-dbcf-4694-bfac-a637a73d5241,CPF3,Aluno 3,01/01/1990
1ac0120b-c1ab-47a7-a772-07f2b68ac157,CPF4,Aluno 4,01/01/1990
a7d30af3-60fd-4339-802d-cef55940fa59,CPF5,Aluno 5,01/01/1990
b1319535-5155-43d2-af51-b365020402a9,CPF6,Aluno 6,01/01/1990
2ebd15c0-46f9-4ea5-a120-1586fb8ddf29,CPF7,Aluno 7,01/01/1990
eff97d41-f338-4f95-81c0-d6310a9ff2df,CPF8,Aluno 8,01/01/1990
ed36c23b-9898-41e9-8a06-0719fda7f74d,CPF9,Aluno 9,01/01/1990
e5ee4c63-f46a-44ac-a570-df3aa9e601e1,CPF10,Aluno 10,01/01/1990
83df1830-74e0-4efa-9e1f-7c85edb5f55a,CPF11,Aluno 11,01/01/1990
3eaaffc0-67d4-4bd4-a66e-54de877c3f1b,CPF12,Aluno 12,01/01/1990
0a3d7344-161c-49e9-a934-5c593a489fdc,CPF13,Aluno 13,01/01/1990
cd6e5269-a19c-478a-98a3-6889922ccee8,CPF14,Aluno 14,01/01/1990
2408d028-4af1-4d8a-8ba0-883b81c9e18e,CPF15,Aluno 15,01/01/1990
95186fb9-9801-4b0f-87da-281703939221,CPF16,Aluno 16,01/01/1990
5597ed3a-8148-4603-b75e-f653b8772332,CPF17,Aluno 17,01/01/1990
09220bc4-abc7-4f0d-b5c2-f506a92ad536,CPF18,Aluno 18,01/01/1990
a4052539-7186-4312-83e5-c9cdf2260b6f,CPF19,Aluno 19,01/01/1990
98f6138b-8bf7-44d7-b7c6-dfc389594469,CPF20,Aluno 20,01/01/1990
dce1445c-a2a7-42a9-b723-d2add56ffccb,CPF21,Aluno 21,01/01/1990
710c13fc-3287-4944-9dc2-b84a5b58cc90,CPF22,Aluno 22,01/01/1990
ff0b0f26-8dce-4484-a4d3-b61425451cf7,CPF23,Aluno 23,01/01/1990
d1dc7b2e-de9c-445c-9995-87180fa333c2,CPF24,Aluno 24,01/01/1990
c4831496-0e5c-4879-94c7-3b6f9121c10d,CPF25,Aluno 25,01/01/1990
dad92fd5-b60a-4a2a-bc08-ce84419c6d05,CPF26,Aluno 26,01/01/1990
d8054c5f-58ee-40d5-aa97-fcc50250de1f,CPF27,Aluno 27,01/01/1990
85adde97-03ee-47de-8566-32e231401109,CPF28,Aluno 28,01/01/1990
7db6272e-0aef-40b0-b719-5fe7cca48c28,CPF29,Aluno 29,01/01/1990
7cf66586-c6d9-4bff-b57e-4cbed70b14e8,CPF30,Aluno 30,01/01/1990
56a7a23f-4edd-4bc1-94dc-74bf447a4fd7,CPF31,Aluno 31,01/01/1990
f541a4fe-031c-45a7-b9bd-df86e044a0d1,CPF32,Aluno 32,01/01/1990
8b3671e4-ba4f-455b-be9f-5e84ff1817ae,CPF33,Aluno 33,01/01/1990
2f384d7c-3598-47fe-b9c6-746531bf5294,CPF34,Aluno 34,01/01/1990
035177f2-6aa4-42ac-8394-5dc0e8bb91b6,CPF35,Aluno 35,01/01/1990
